,여행지,주소,상세페이지,이미지주소,위도 경도
21,계족산 황톳길,대전 대덕구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13941295-50d3-4e80-ae10-31a1975c307e,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a2495fc-e746-429c-aaa6-9082681948cf,"36.4032551669, 127.4492219591"
22,국립 대전현충원,대전 유성구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9d73ffc7-751b-4108-82eb-2ce8517d39c9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5edc059-f5d3-46b5-991f-d940ec2db31c,"36.3622460736, 127.2985587765"
23,수통골,대전 유성구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=81ab5e52-835e-4fec-bafd-35ea1ab8ee9a,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=149bd80b-c52a-44bc-a680-303155fe91a6,"36.3453478312, 127.2885962357"
24,장태산 자연휴양림,대전 서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ee78a56f-8fb0-421e-b714-b20472df9e00,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86e40752-5b91-47f5-bbad-0a887ca0a283,"36.2159580005, 127.3412755693"
25,한밭수목원,대전 서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=de494a01-4629-4a22-83c4-6f5eab6b2720,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=22e487f2-3264-466d-937c-30db19b6a61f,"36.3664688257, 127.3880168484"
26,만인산 자연휴양림,대전 동구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8e9f410-3fa4-461a-b205-a41252426b87,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f6f6b5aa-481c-4116-a986-bd358cb9e357,"36.2022976798, 127.4547630291"
27,뿌리공원,대전 중구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3732f9d0-1c50-45ef-81d6-0b25a83e86da,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b85654a8-5834-45a9-8bb1-3db5d2e7f8bd,"36.2840649077, 127.3865419109"
28,상소동 산림욕장,대전 동구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2117bd9b-c0a4-411e-802d-a71e8e8b122e,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2993d1f2-d39e-453f-af96-0bea1d18bd86,"36.2313640959, 127.4710996743"
29,식장산 문화공원,대전 동구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eb067a02-fb66-4ce3-86cb-8ddf2a8f3925,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48576f2f-b67a-42c6-86de-3e18361c9438,"36.3023644859, 127.480591346"
30,장산,부산 해운대구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a353db2d-4e96-49d3-a091-7f8c359ca22c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7a37549-0e46-40cb-b70d-86e150ab10fd,"35.1811053657, 129.168189943"
